iter	Logloss
0	0.6848712746
1	0.6780547963
2	0.6712533083
3	0.6659968068
4	0.6598560018
5	0.6553912268
6	0.650514852
7	0.6454215729
8	0.640064651
9	0.6341384181
10	0.6293430397
11	0.6242364155
12	0.6205061789
13	0.6160028903
14	0.6119972173
15	0.6087801003
16	0.6052827877
17	0.6022804417
18	0.5994204502
19	0.5970247948
20	0.5941973656
21	0.5899345707
22	0.5870241669
23	0.5850106663
24	0.5824041467
25	0.5796884565
26	0.5773668085
27	0.5752234437
28	0.5735557289
29	0.5719685797
30	0.570467603
31	0.5692844918
32	0.5678002215
33	0.564886585
34	0.5624137223
35	0.5609766109
36	0.5594790495
37	0.5582481994
38	0.5571103651
39	0.5559473415
40	0.5548914987
41	0.5533480833
42	0.5517428382
43	0.5501660284
44	0.5490866033
45	0.5473374744
46	0.5462018903
47	0.5451124471
48	0.5438273173
49	0.541767746
50	0.5402882538
51	0.5397001509
52	0.5386276433
53	0.5376862287
54	0.5363810953
55	0.535462113
56	0.5347641263
57	0.5341915966
58	0.532970791
59	0.532101963
60	0.5313508536
61	0.5300726072
62	0.529508136
63	0.5287795035
64	0.5277297476
65	0.5270144415
66	0.5253893335
67	0.5239900308
68	0.5231842649
69	0.5222442514
70	0.5218336542
71	0.5212622943
72	0.5209640881
73	0.5201059945
74	0.5193214331
75	0.5188177856
76	0.51768919
77	0.5162422027
78	0.5157725319
79	0.5149908426
80	0.5142688483
81	0.5137017873
82	0.5127801995
83	0.5119695117
84	0.5115160698
85	0.5106145782
86	0.5103267982
87	0.5088293149
88	0.5081771568
89	0.5078086133
90	0.5072608926
91	0.5060969914
92	0.5052147053
93	0.5042875161
94	0.5024273196
95	0.501866885
96	0.5010136359
97	0.5001582392
98	0.4996597099
99	0.4991078207
100	0.4985633982
101	0.4980339425
102	0.4976709936
103	0.4970835258
104	0.496186324
105	0.4954053727
106	0.4944402355
107	0.4939442197
108	0.4932158212
109	0.4927835253
110	0.4914737564
111	0.4909997634
112	0.4904041656
113	0.4898518795
114	0.4892930609
115	0.4886236048
116	0.4878498019
117	0.4876061876
118	0.4869964865
119	0.486608186
120	0.4861754779
121	0.4856202007
122	0.4844356153
123	0.4835990735
124	0.4828874565
125	0.4820998538
126	0.4812035479
127	0.4802632816
128	0.4798348895
129	0.4794628123
130	0.4789641784
131	0.4781343718
132	0.4777925145
133	0.477607597
134	0.477336544
135	0.4768916247
136	0.476494722
137	0.4761298354
138	0.4759559891
139	0.4754341493
140	0.4748899024
141	0.4747049391
142	0.4744814976
143	0.4740646138
144	0.4737497384
145	0.4731741251
146	0.4721748707
147	0.4719342392
148	0.4716918886
149	0.4708971498
150	0.4702135533
151	0.4699848958
152	0.4696764678
153	0.4691009967
154	0.4686678724
155	0.4677650072
156	0.4675898046
157	0.4669358674
158	0.4661194067
159	0.4658139525
160	0.4655094681
161	0.4653298154
162	0.4651007134
163	0.4647280381
164	0.4644337624
165	0.4641315136
166	0.4631795425
167	0.4627834598
168	0.4617804647
169	0.461478913
170	0.4612390327
171	0.4610058237
172	0.460057783
173	0.4595959728
174	0.4586928754
175	0.4585316576
176	0.4577941979
177	0.4573823195
178	0.4568807422
179	0.456498832
180	0.4561137663
181	0.4555013619
182	0.4550679747
183	0.4547168493
184	0.4541609386
185	0.4536898342
186	0.4533606312
187	0.4530197863
188	0.4522242364
189	0.451971657
190	0.4513600518
191	0.4511358842
192	0.4508054667
193	0.4504561139
194	0.4498445383
195	0.4496957471
196	0.4492353012
197	0.4489610787
198	0.4485664055
199	0.4481940259
200	0.4480532429
201	0.4477604108
202	0.4475783449
203	0.4471908864
204	0.446895937
205	0.4463079882
206	0.4457074195
207	0.4455124866
208	0.4453002675
209	0.4448715498
210	0.4438458008
211	0.4434871257
212	0.4428738747
213	0.4424024563
214	0.4421252343
215	0.4414394802
216	0.4409453482
217	0.440657908
218	0.4404981444
219	0.4400092921
220	0.4397813094
221	0.4391431857
222	0.4385402085
223	0.4383326898
