iter	Passed	Remaining
0	34	10389
1	63	9465
2	102	10119
3	138	10229
4	166	9852
5	203	9974
6	236	9905
7	271	9918
8	306	9897
9	340	9881
10	376	9885
11	414	9937
12	451	9957
13	484	9892
14	519	9877
15	552	9807
16	584	9735
17	617	9666
18	654	9681
19	691	9682
20	727	9660
21	762	9631
22	799	9628
23	833	9583
24	866	9527
25	898	9470
26	931	9421
27	968	9409
28	1002	9364
29	1035	9323
30	1070	9290
31	1107	9276
32	1146	9273
33	1177	9214
34	1215	9206
35	1250	9172
36	1288	9160
37	1322	9119
38	1357	9085
39	1391	9045
40	1427	9017
41	1464	8994
42	1497	8951
43	1530	8906
44	1565	8871
45	1599	8831
46	1634	8797
47	1669	8766
48	1707	8748
49	1745	8728
50	1803	8803
51	1847	8809
52	1882	8772
53	1913	8718
54	1948	8678
